ncbi,id
Ocbimv22001036m,BBX
Ocbimv22037932m,Capicua Transcriptional Repressor
Ocbimv22025121m,CSK
Ocbimv22035611m,DMBX
Ocbimv22032306m,DPP
Ocbimv22022153m,DRD1
Ocbimv22016454m,EPHrA4
Ocbimv22018859m,Frizzled
Ocbimv22022929m,fyn-related kinase
Ocbimv22019499m,GSC
Ocbimv22030263m,Labial
Ocbimv22020573m,Matrilin 2
Ocbimv22021915m,NeuroD
Ocbimv22025327m,Neurogenin
Ocbimv22025901m,Nkx6
Ocbimv22038925m,Notum
Ocbimv22035917m,NTRK2
Ocbimv22012140m,oScleraxis
Ocbimv22013584m,RALDH2
Ocbimv22031167m,Sim (single minded)
Ocbimv22028847m,Snap25
Ocbimv22021175m,Synaptotagmin
Ocbimv22008298m,BMP1
Ocbimv22016493m,BMP1?
Ocbimv22012355m,BMP2
Ocbimv22003301m,MOX/Hox
Ocbimv22005596m,Engrailed/Hox2
Ocbimv22007440m,GSX/Hox
Ocbimv22009169m,NK1/Hox1
Ocbimv22009368m,EMX/Hox
Ocbimv22011232m,Nkx2.1/Hox
Ocbimv22016198m,MSH/Hox2
Ocbimv22019656m,Hox3
Ocbimv22020235m,Engrailed/Hox2
Ocbimv22021570m,NK1
Ocbimv22021784m,NK2/Hox6
Ocbimv22022773m,Scarecrow/Hox
Ocbimv22023280m,Hox1
Ocbimv22023837m,CDX1/Hox
Ocbimv22025477m,Barx1?/Hox
Ocbimv22026957m,NKX3/Hox
Ocbimv22031356m,Hox2
Ocbimv22032299m,Even skipped/Hox
Ocbimv22032498m,Pdx1/Hox1
Ocbimv22033333m,Nkx2.1/Hox
Ocbimv22011232m,Nkx2.1/Hox
Ocbimv22033981m,Hox6
Ocbimv22034548m,NKX2/Hox
Ocbimv22035046m,GBX1/Hox
Ocbimv22038167m,Barx/Hox1
Ocbimv22038354m,Distalless/Hox
Ocbimv22007835m,Hox(Pax6?)
Ocbimv22000807m,Pax
Ocbimv22007526m,pax2/5/8
Ocbimv22007901m,Pax
Ocbimv22024516m,Hox
Ocbimv22031197m,Hox
Ocbimv22033340m,Lox2/Hox
Ocbimv22025800m,Hox (Otx?)
Ocbimv22015181m,Hox
Ocbimv22019944m,Hox
Ocbimv22038182m,Hox
Ocbimv22007999m,Hox3
Ocbimv22018468m,Hox5
Ocbimv22022986m,Lox2
Ocbimv22009726m,Lox2/Hox
Ocbimv22018819m,Lox4
Ocbimv22010462m,Pax1/9
Ocbimv22011111m,Pax6
Ocbimv22021713m,oPax3/7
Ocbimv22036189m,"Antennepedia (Antp, Hox7)"
Ocbimv22015900m,Aristaless/Hox
Ocbimv22018651m,Aristaless/Hox
Ocbimv22027055m,Aristaless/Hox
Ocbimv22016261m,SHH
Ocbimv22016260m,Hh
Ocbimv22016262m,HH
Ocbimv22037612m,Wnt1
Ocbimv22033378m,Wnt5
Ocbimv22038050m,Wnt7
Ocbimv22013071m,WntA
Ocbimv22008390m,EGF
Ocbimv22030441m,EGF
Ocbimv22033974m,EGF
Ocbimv22033976m,EGF
Ocbimv22038260m,EGF
Ocbimv22000996m,EGF(Notch?)
Ocbimv22013683m,EGF(Notch?)
Ocbimv22018982m,EGF(Notch?)
Ocbimv22020577m,EGF(Notch?)
Ocbimv22020578m,EGF(Notch?)
Ocbimv22021827m,EGF(Notch?)
Ocbimv22025803m,EGF(Notch?)
Ocbimv22033973m,EGF(Notch?)
Ocbimv22033979m,EGF(Notch?)
Ocbimv22037279m,EGF(Notch?)
